Ticker,Date,Traded,Price Paid
AMZN,7/1/2020,6,143.9349976
AMZN,12/1/2020,6,161.0039978
AMZN,5/1/2021,5,173.3710022
AMZN,10/1/2021,6,164.1629944
AMZN,3/1/2022,6,151.1419983
AMZN,8/1/2022,7,135.3899994
GOOGL,1/4/2010,63,15.68443394
GOOGL,6/1/2010,82,12.07132053
GOOGL,11/1/2010,64,15.3903904
GOOGL,4/1/2011,67,14.80980968
GOOGL,9/1/2011,75,13.32582569
GOOGL,2/1/2012,68,14.535285
GOOGL,7/1/2012,68,14.51626587
GOOGL,12/1/2012,57,17.47672653
GOOGL,5/1/2013,48,20.53128052
GOOGL,10/1/2013,45,22.19719696
GOOGL,3/1/2014,32,30.42167282
GOOGL,8/1/2014,34,28.68000031
GOOGL,1/2/2015,37,26.47750092
GOOGL,6/1/2015,36,27.46050072
GOOGL,11/1/2015,27,36.86949921
GOOGL,4/1/2016,25,38.48350143
GOOGL,8/1/2016,24,40.04700089
GOOGL,1/2/2017,25,39.62250137
GOOGL,6/1/2017,20,49.41450119
GOOGL,11/1/2017,19,52.13000107
GOOGL,4/1/2018,19,51.85699844
GOOGL,9/1/2018,16,61.59000015
GOOGL,2/1/2019,17,55.93099976
GOOGL,7/1/2019,18,55
GOOGL,12/1/2019,15,65.20449829
GOOGL,5/1/2020,15,65.86599731
GOOGL,10/1/2020,13,74.39499664
GOOGL,3/1/2021,9,103.4830017
GOOGL,8/1/2021,7,134.7265015
GOOGL,1/2/2022,6,144.852005
GOOGL,6/1/2022,8,113.8919983
GOOGL,11/1/2022,11,90.47000122
GOOGL,2/1/2010,74,13.33883858
META,7/1/2010,63,15.66571426
META,12/1/2010,103,9.632321358
META,5/1/2011,102,9.790499687
META,10/1/2011,77,12.88888931
META,3/1/2012,62,16.1071434
META,8/1/2012,47,20.87999916
META,1/2/2013,35,28
META,6/1/2013,41,24.35000038
META,11/1/2013,20,49.75
META,4/1/2014,15,62.61999893
META,9/1/2014,13,74.81999969
META,2/1/2015,13,75.91000366
META,7/1/2015,11,86.91000366
META,12/1/2015,9,107.1200027
META,5/1/2016,8,117.5800018
META,9/1/2016,7,126.1699982
META,2/1/2017,7,133.2299957
META,7/1/2017,6,150.9799957
META,12/1/2017,5,175.1000061
META,5/1/2018,5,173.8600006
META,10/1/2018,6,162.4400024
META,3/1/2019,6,162.2799988
META,8/1/2019,5,192.7299957
META,1/2/2020,4,209.7799988
META,6/1/2020,4,231.9100037
META,11/1/2020,3,263.1099854
META,4/1/2021,3,298.6600037
META,9/1/2021,2,382.0499878
META,2/1/2022,3,319
META,7/1/2022,6,160.0299988
NFLX,5/1/2010,70,14.12857056
NFLX,10/1/2010,45,22.09428596
NFLX,3/1/2011,34,29.23285675
NFLX,8/1/2011,26,37.62571335
NFLX,1/2/2012,101,9.898571014
NFLX,6/1/2012,111,8.992856979
NFLX,11/1/2012,90,11.09857082
NFLX,4/1/2013,38,26.06142807
NFLX,9/1/2013,24,40.55857086
NFLX,2/1/2014,17,58.47571564
NFLX,7/1/2014,14,67.58571625
NFLX,12/1/2014,20,48.83000183
NFLX,5/1/2015,12,79.57571411
NFLX,10/1/2015,9,105.9800034
NFLX,3/1/2016,10,98.30000305
NFLX,12/1/2016,8,117.2200012
NFLX,5/1/2017,6,155.3500061
NFLX,10/1/2017,5,181.3500061
NFLX,3/1/2018,3,290.3900146
NFLX,8/1/2018,2,338.3800049
NFLX,1/2/2019,3,267.6600037
NFLX,6/1/2019,2,343.2799988
NFLX,11/1/2019,3,286.8099976
NFLX,4/1/2020,2,364.0799866
NFLX,9/1/2020,1,556.5499878
NFLX,2/1/2021,1,539.039978
NFLX,7/1/2021,1,533.539978
NFLX,12/1/2021,1,617.7700195
NFLX,5/1/2022,5,190.3600006
NFLX,10/1/2022,4,235.4400024
